1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -7.80000000000000e+02	| -7.80000000000000e+02	| -7.80000000000000e+02	| 
1            	| -7.83316728201422e+02	| -7.83316728201422e+02	| -7.83316728201422e+02	| 
2            	| -7.83323314043909e+02	| -7.83323263235824e+02	| -7.83323314043909e+02	| 
3            	| -7.83323314075428e+02	| -7.83323313666017e+02	| -7.83323314075428e+02	| 
4            	| 			| -7.83323314072119e+02	| 			| 
5            	| 			| -7.83323314075401e+02	| 			| 
6            	| 			| -7.83323314075428e+02	| 			| 
Tempo total 	| 6.46179199218750e+01	| 1.86701660156250e+01	| 5.31152343750000e+01  |
Tempo derivadas | 6.44106445312500e+01	| 1.16650390625000e+02	| 5.29384765625000e+01  |
Tempo SL 	| 1.02050781250000e-01	| 8.59375000000000e-02	| 5.73730468750000e-02  |
#

32
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+x21^4-16*x21^2+5*x21+x22^4-16*x22^2+5*x22+x23^4-16*x23^2+5*x23+x24^4-16*x24^2+5*x24+x25^4-16*x25^2+5*x25+x26^4-16*x26^2+5*x26+x27^4-16*x27^2+5*x27+x28^4-16*x28^2+5*x28+x29^4-16*x29^2+5*x29+x30^4-16*x30^2+5*x30+x31^4-16*x31^2+5*x31+x32^4-16*x32^2+5*x32+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -1.24800000000000e+03	| -1.24800000000000e+03	| -1.24800000000000e+03	| 
1            	| -1.25330676512228e+03	| -1.25330676512228e+03	| -1.25330676512228e+03	| 
2            	| -1.25331730247025e+03	| -1.25331722117732e+03	| -1.25331730247025e+03	| 
3            	| -1.25331730252069e+03	| -1.25331730186563e+03	| -1.25331730252069e+03	| 
4            	| 			| -1.25331730251539e+03	| 			| 
5            	| 			| -1.25331730252064e+03	| 			| 
6            	| 			| -1.25331730252069e+03	| 			| 
Tempo total 	| 2.59432128906250e+02	| 6.86352539062500e+01	| 2.47360107421875e+02  |
Tempo derivadas | 2.58882568359375e+02	| 4.45749511718750e+02	| 2.47068359375000e+02  |
Tempo SL 	| 3.41308593750000e-01	| 1.46728515625000e-01	| 8.74023437500000e-02  |
#

2
x1^2+x2^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 8.00000000000000e+00	| 8.00000000000000e+00	| 8.00000000000000e+00	| 
1            	| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	| 
Tempo total 	| 2.59437255859375e+02	| 6.86381835937500e+01	| 2.47362060546875e+02  |
Tempo derivadas | 2.58883789062500e+02	| 4.45749511718750e+02	| 2.47069335937500e+02  |
Tempo SL 	| 3.41308593750000e-01	| 1.48681640625000e-01	| 8.83789062500000e-02  |
#

10
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 1.00000000000000e+03	| 1.00000000000000e+03	| 1.00000000000000e+03	| 
1            	| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	| 
Tempo total 	| 2.59508300781250e+02	| 6.86782226562500e+01	| 2.47427001953125e+02  |
Tempo derivadas | 2.58946777343750e+02	| 4.45803710937500e+02	| 2.47129394531250e+02  |
Tempo SL 	| 3.46191406250000e-01	| 1.51611328125000e-01	| 9.03320312500000e-02  |
#

50
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 1.25000000000000e+05	| 1.25000000000000e+05	| 1.25000000000000e+05	| 
1            	| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	| 
Tempo total 	| 2.73656250000000e+02	| 7.53190917968750e+01	| 2.58451904296875e+02  |
Tempo derivadas | 2.72634521484375e+02	| 4.58081542968750e+02	| 2.58100341796875e+02  |
Tempo SL 	| 7.71240234375000e-01	| 1.90673828125000e-01	| 1.15478515625000e-01  |
#

100
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+x51^2+x52^2+x53^2+x54^2+x55^2+x56^2+x57^2+x58^2+x59^2+x60^2+x61^2+x62^2+x63^2+x64^2+x65^2+x66^2+x67^2+x68^2+x69^2+x70^2+x71^2+x72^2+x73^2+x74^2+x75^2+x76^2+x77^2+x78^2+x79^2+x80^2+x81^2+x82^2+x83^2+x84^2+x85^2+x86^2+x87^2+x88^2+x89^2+x90^2+x91^2+x92^2+x93^2+x94^2+x95^2+x96^2+x97^2+x98^2+x99^2+x100^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 1.00000000000000e+06	| 1.00000000000000e+06	| 1.00000000000000e+06	| 
1            	| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00	| 
Tempo total 	| 3.88955078125000e+02	| 1.32498046875000e+02	| 3.73071777343750e+02  |
Tempo derivadas | 3.84536376953125e+02	| 5.66673339843750e+02	| 3.72494140625000e+02  |
Tempo SL 	| 3.99121093750000e+00	| 3.45703125000000e-01	| 2.14599609375000e-01  |
#

2
100*(x2-x1^2)^2+(1-x1)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 1.03010000000000e-02	| 1.03010000000000e-02	| 1.03010000000000e-02	| 
1            	| 4.47512876972346e-05	| 4.47512876972346e-05	| 3.06134638174544e-05	| 
2            	| 1.98628259133642e-07	| 2.00757453596184e-05	| 2.36819760970239e-05	| 
3            	| 1.67056063375693e-14	| 3.98323923648905e-08	| 1.84009378597714e-05	| 
4            	| 2.73932442376062e-26	| 3.14318682120503e-10	| 1.42936008347344e-05	| 
5            	| 			| 9.87969115678114e-18	| 1.11003339296777e-05	| 
6            	| 			| 			| 8.61857909863489e-06	| 
7            	| 			| 			| 6.69039305422687e-06	| 
8            	| 			| 			| 5.19270619212908e-06	| 
9            	| 			| 			| 4.02968142637959e-06	| 
10           	| 			| 			| 3.12672872336118e-06	| 
11           	| 			| 			| 2.42582242598804e-06	| 
12           	| 			| 			| 1.88184183152756e-06	| 
13           	| 			| 			| 1.45971419214083e-06	| 
14           	| 			| 			| 1.13218608897953e-06	| 
15           	| 			| 			| 8.78086280454257e-07	| 
16           	| 			| 			| 6.80972537008441e-07	| 
17           	| 			| 			| 5.28078198941892e-07	| 
18           	| 			| 			| 4.09492490284426e-07	| 
19           	| 			| 			| 3.17523007193790e-07	| 
Tempo total 	| 3.88977050781250e+02	| 1.32515136718750e+02	| 3.73171630859375e+02  |
Tempo derivadas | 3.84555175781250e+02	| 5.66685546875000e+02	| 3.72552978515625e+02  |
Tempo SL 	| 3.99121093750000e+00	| 3.48632812500000e-01	| 2.41455078125000e-01  |
#

4
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 3.09030000000000e-02	| 3.09030000000000e-02	| 3.09030000000000e-02	| 
1            	| 1.06307897367424e-04	| 1.06307897367424e-04	| 7.38444960017463e-05	| 
2            	| 6.52351840213083e-07	| 4.69199144576480e-05	| 5.46976085112189e-05	| 
3            	| 3.47092973317749e-13	| 2.11081345394642e-05	| 4.25154941019378e-05	| 
4            	| 7.46474097302232e-24	| 9.52945630969772e-06	| 3.30361423251961e-05	| 
5            	| 			| 5.57124281233497e-09	| 2.56630143202654e-05	| 
6            	| 			| 1.29697727141898e-11	| 1.99304300867614e-05	| 
7            	| 			| 3.03390267109241e-14	| 1.54749454341711e-05	| 
8            	| 			| 			| 1.20131348866330e-05	| 
9            	| 			| 			| 9.32413103661920e-06	| 
10           	| 			| 			| 7.23592452090644e-06	| 
11           	| 			| 			| 5.61463025095408e-06	| 
12           	| 			| 			| 4.35608839426086e-06	| 
13           	| 			| 			| 3.37929964968374e-06	| 
14           	| 			| 			| 2.62129929461757e-06	| 
15           	| 			| 			| 2.03315815900535e-06	| 
16           	| 			| 			| 1.57686516707005e-06	| 
17           	| 			| 			| 1.22289875000879e-06	| 
18           	| 			| 			| 9.48336033243029e-07	| 
19           	| 			| 			| 7.35381486610670e-07	| 
Tempo total 	| 3.89147216796875e+02	| 1.32611083984375e+02	| 3.73935546875000e+02  |
Tempo derivadas | 3.84717285156250e+02	| 5.66909179687500e+02	| 3.73209960937500e+02  |
Tempo SL 	| 3.99316406250000e+00	| 3.51562500000000e-01	| 3.26904296875000e-01  |
#

10
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 9.27090000000000e-02	| 9.27090000000000e-02	| 9.27090000000000e-02	| 
1            	| 1.72793152576069e-04	| 1.72793152576069e-04	| 1.32036577704771e-04	| 
2            	| 1.00128041094532e-06	| 6.03252210645260e-05	| 6.91943187990323e-05	| 
3            	| 1.39877013701217e-12	| 2.70810088805883e-05	| 5.37979550037462e-05	| 
4            	| 1.17560458081406e-22	| 1.22158642031249e-05	| 4.18132151787652e-05	| 
5            	| 			| 5.52714464260698e-06	| 3.24881729989159e-05	| 
6            	| 			| 2.50655699447507e-06	| 2.52357821780556e-05	| 
7            	| 			| 1.13861767150646e-06	| 1.95975616634451e-05	| 
8            	| 			| 5.17830874941617e-07	| 1.52157557745622e-05	| 
9            	| 			| 2.35695589563567e-07	| 1.18114235218650e-05	| 
10           	| 			| 1.07339070792641e-07	| 9.16722550719928e-06	| 
11           	| 			| 6.95239884358924e-13	| 7.11392289238726e-06	| 
12           	| 			| 1.81218643671960e-17	| 5.51980282738924e-06	| 
13           	| 			| 			| 4.28240627141925e-06	| 
14           	| 			| 			| 3.32206397089644e-06	| 
15           	| 			| 			| 2.57685021492084e-06	| 
16           	| 			| 			| 1.99864673396819e-06	| 
17           	| 			| 			| 1.55007480321074e-06	| 
18           	| 			| 			| 1.20210561403671e-06	| 
19           	| 			| 			| 9.32200032636397e-07	| 
